p,l,d,W
0E+00,0E+00,0E+00,1E+00
0E+00,0E+00,1E-05,1E+00
0E+00,0E+00,1E-04,1.00001E+00
0E+00,0E+00,1E-03,1.00014E+00
0E+00,0E+00,1E-02,1.0014E+00
0E+00,0E+00,1E-01,1.014E+00
0E+00,0E+00,2E-01,1.02816E+00
0E+00,0E+00,3E-01,1.04215E+00
0E+00,0E+00,4E-01,1.05581E+00
0E+00,0E+00,5E-01,1.069E+00
0E+00,0E+00,6E-01,1.08167E+00
0E+00,0E+00,7E-01,1.09391E+00
0E+00,0E+00,8E-01,1.10583E+00
0E+00,0E+00,9E-01,1.1175E+00
0E+00,0E+00,1E+00,1.129E+00
0E+00,0E+00,2E+00,1.221E+00
0E+00,0E+00,3E+00,1.28684E+00
0E+00,0E+00,4E+00,1.33667E+00
0E+00,0E+00,5E+00,1.374E+00
0E+00,0E+00,6E+00,1.4018E+00
0E+00,0E+00,7E+00,1.4229E+00
0E+00,0E+00,8E+00,1.43923E+00
0E+00,0E+00,9E+00,1.4522E+00
0E+00,0E+00,1E+01,1.463E+00
0E+00,0E+00,1.2E+01,1.48033E+00
0E+00,0E+00,1.4E+01,1.49242E+00
0E+00,0E+00,1.6E+01,1.50094E+00
0E+00,0E+00,1.8E+01,1.50719E+00
0E+00,0E+00,2E+01,1.512E+00
0E+00,0E+00,2.5E+01,1.51971E+00
0E+00,0E+00,3E+01,1.5248E+00
0E+00,0E+00,3.5E+01,1.52839E+00
0E+00,0E+00,4E+01,1.53095E+00
0E+00,0E+00,4.5E+01,1.53277E+00
0E+00,0E+00,5E+01,1.534E+00
0E+00,0E+00,6E+01,1.53516E+00
0E+00,0E+00,7E+01,1.53523E+00
0E+00,0E+00,8E+01,1.5347E+00
0E+00,0E+00,9E+01,1.53389E+00
0E+00,0E+00,1E+02,1.533E+00
0E+00,0E+00,1.2E+02,1.53153E+00
0E+00,0E+00,1.4E+02,1.53057E+00
0E+00,0E+00,1.6E+02,1.5299E+00
0E+00,0E+00,1.8E+02,1.5294E+00
0E+00,0E+00,2E+02,1.529E+00
0E+00,0E+00,3E+02,1.52766E+00
0E+00,0E+00,4E+02,1.52675E+00
0E+00,0E+00,5E+02,1.526E+00
0E+00,0E+00,1E+03,1.523E+00
0E+00,2.5E-02,0E+00,9.88082E-01
0E+00,2.5E-02,1E-05,9.88083E-01
0E+00,2.5E-02,1E-04,9.88095E-01
0E+00,2.5E-02,1E-03,9.88216E-01
0E+00,2.5E-02,1E-02,9.89422E-01
0E+00,2.5E-02,1E-01,1.00153E+00
0E+00,2.5E-02,2E-01,1.0155E+00
0E+00,2.5E-02,3E-01,1.02939E+00
0E+00,2.5E-02,4E-01,1.04297E+00
0E+00,2.5E-02,5E-01,1.05605E+00
0E+00,2.5E-02,6E-01,1.06854E+00
0E+00,2.5E-02,7E-01,1.08056E+00
0E+00,2.5E-02,8E-01,1.09224E+00
0E+00,2.5E-02,9E-01,1.10369E+00
0E+00,2.5E-02,1E+00,1.11501E+00
0E+00,2.5E-02,2E+00,1.20681E+00
0E+00,2.5E-02,3E+00,1.27237E+00
0E+00,2.5E-02,4E+00,1.32154E+00
0E+00,2.5E-02,5E+00,1.35824E+00
0E+00,2.5E-02,6E+00,1.38573E+00
0E+00,2.5E-02,7E+00,1.40685E+00
0E+00,2.5E-02,8E+00,1.42342E+00
0E+00,2.5E-02,9E+00,1.43677E+00
0E+00,2.5E-02,1E+01,1.44799E+00
0E+00,2.5E-02,1.2E+01,1.46607E+00
0E+00,2.5E-02,1.4E+01,1.47872E+00
0E+00,2.5E-02,1.6E+01,1.48766E+00
0E+00,2.5E-02,1.8E+01,1.49423E+00
0E+00,2.5E-02,2E+01,1.49932E+00
0E+00,2.5E-02,2.5E+01,1.50782E+00
0E+00,2.5E-02,3E+01,1.51359E+00
0E+00,2.5E-02,3.5E+01,1.51779E+00
0E+00,2.5E-02,4E+01,1.5209E+00
0E+00,2.5E-02,4.5E+01,1.5232E+00
0E+00,2.5E-02,5E+01,1.52487E+00
0E+00,2.5E-02,6E+01,1.52675E+00
0E+00,2.5E-02,7E+01,1.52742E+00
0E+00,2.5E-02,8E+01,1.52742E+00
0E+00,2.5E-02,9E+01,1.52706E+00
0E+00,2.5E-02,1E+02,1.52457E+00
0E+00,2.5E-02,1.2E+02,1.52394E+00
0E+00,2.5E-02,1.4E+02,1.52368E+00
0E+00,2.5E-02,1.6E+02,1.52356E+00
0E+00,2.5E-02,1.8E+02,1.52347E+00
0E+00,2.5E-02,2E+02,1.5234E+00
0E+00,2.5E-02,3E+02,1.523E+00
0E+00,2.5E-02,4E+02,1.52257E+00
0E+00,2.5E-02,5E+02,1.52211E+00
0E+00,2.5E-02,1E+03,1.51959E+00
0E+00,5E-02,0E+00,9.76231E-01
0E+00,5E-02,1E-05,9.76232E-01
0E+00,5E-02,1E-04,9.76243E-01
0E+00,5E-02,1E-03,9.76359E-01
0E+00,5E-02,1E-02,9.77513E-01
0E+00,5E-02,1E-01,9.89154E-01
0E+00,5E-02,2E-01,1.00293E+00
0E+00,5E-02,3E-01,1.01672E+00
0E+00,5E-02,4E-01,1.03021E+00
0E+00,5E-02,5E-01,1.04318E+00
0E+00,5E-02,6E-01,1.05549E+00
0E+00,5E-02,7E-01,1.06729E+00
0E+00,5E-02,8E-01,1.07873E+00
0E+00,5E-02,9E-01,1.08997E+00
0E+00,5E-02,1E+00,1.10112E+00
0E+00,5E-02,2E+00,1.1927E+00
0E+00,5E-02,3E+00,1.25797E+00
0E+00,5E-02,4E+00,1.3065E+00
0E+00,5E-02,5E+00,1.34258E+00
0E+00,5E-02,6E+00,1.36979E+00
0E+00,5E-02,7E+00,1.39093E+00
0E+00,5E-02,8E+00,1.40774E+00
0E+00,5E-02,9E+00,1.42146E+00
0E+00,5E-02,1E+01,1.43309E+00
0E+00,5E-02,1.2E+01,1.4519E+00
0E+00,5E-02,1.4E+01,1.46511E+00
0E+00,5E-02,1.6E+01,1.47446E+00
0E+00,5E-02,1.8E+01,1.48135E+00
0E+00,5E-02,2E+01,1.4867E+00
0E+00,5E-02,2.5E+01,1.49599E+00
0E+00,5E-02,3E+01,1.50245E+00
0E+00,5E-02,3.5E+01,1.50725E+00
0E+00,5E-02,4E+01,1.5109E+00
